first,second,overlap_ratio
45985123,45948751,1.0
45985123,46011165,1.0
45968097,45968079,1.0
45968097,45968056,1.0
45968097,45968051,1.0
45968079,45968056,1.0
45968079,45968051,1.0
45968056,45968051,1.0
45910764,45910745,1.0
46036880,46036308,0.9887005649717514
46036880,46041704,0.9887005649717514
45090568,45090373,1.0
46036308,46041704,1.0
45436574,45436576,1.0
45961723,45961675,1.0
45961723,45961700,1.0
45961675,45961700,1.0
46023000,45335030,0.9402985074626866
45877959,45877951,0.9714285714285714
45948822,46011240,0.9523809523809523
45948821,46011225,0.9069767441860465
45948800,46011205,0.9523809523809523
45948751,46011165,1.0
45606469,45606467,1.0
45610951,45610948,0.9487179487179487
45970634,45970635,0.9672131147540983
46007420,46007404,0.9622641509433962
46007420,46007399,0.9622641509433962
46007404,46007399,0.9622641509433962
46016383,46016377,0.9245283018867925
46016383,46016340,0.9245283018867925
46016377,46016371,0.9259259259259259
46016377,46016340,0.9622641509433962
46016371,46016340,0.9259259259259259
45990313,45987039,1.0
45990313,45986549,1.0
45987039,45986549,1.0
45833235,45833221,1.0
45856839,45856820,0.9818181818181818
46020310,46020297,0.9607843137254902
46020310,46019910,0.9607843137254902
46020310,46019809,0.9607843137254902
46020297,46019910,0.9607843137254902
46020297,46019809,0.9607843137254902
46019910,46019809,0.9607843137254902
45895280,45895282,0.9238095238095239
46029931,46029929,1.0
46029800,46029799,0.9387755102040817
46029800,46029798,1.0
46029800,46029797,0.9387755102040817
46029799,46029798,0.9387755102040817
46029799,46029797,1.0
46029798,46029797,0.9387755102040817
46018532,46018533,1.0
46018461,46018460,1.0
45592069,45591984,0.9065420560747663
45831448,45831318,1.0
45980837,45980838,0.927536231884058
45929395,45929394,0.9310344827586207
45890120,45887434,1.0
44880419,44880321,0.9448818897637795
44880419,44545868,0.9523809523809523
44880321,44545868,0.9296875
45911603,45911579,0.9636363636363636
45911603,45911184,0.9285714285714286
45911579,45911184,0.9285714285714286
45326869,45326867,1.0
45326869,45326858,1.0
45326867,45326858,1.0
46026445,46026430,1.0
46026445,46026378,1.0
46026430,46026378,1.0
45938580,45938581,0.9318181818181818
42067426,42067424,1.0
46005894,46005858,1.0
45856708,45856692,0.9819819819819819
45856708,45856530,0.9819819819819819
45856692,45856530,0.9819819819819819
45936213,45936210,1.0
45887942,45843398,0.926829268292683
45887942,45837450,0.926829268292683
45887942,45787684,0.926829268292683
45887942,45715547,0.9069767441860465
45887942,45715374,0.926829268292683
45887942,44772231,0.926829268292683
45887942,41132388,0.926829268292683
45843398,45837450,0.95
45843398,45787684,0.95
45843398,45715547,0.9285714285714286
45843398,45715374,0.95
45843398,45610055,0.9047619047619048
45843398,45610054,0.9047619047619048
45843398,44772231,0.95
45843398,41132388,0.95
45837450,45787684,0.95
45837450,45715374,0.95
45837450,45610055,0.9047619047619048
45837450,45610054,0.9047619047619048
45837450,44772231,0.95
45837450,41132388,0.95
45787684,45715374,0.95
45787684,45610055,0.9047619047619048
45787684,45610054,0.9047619047619048
45787684,44772231,0.95
45787684,41132388,0.95
45715547,44574373,0.9318181818181818
45715374,45610055,0.9047619047619048
45715374,45610054,0.9047619047619048
45715374,44772231,0.95
45715374,41132388,0.95
45610055,45610054,1.0
45610055,44772231,0.9047619047619048
45610055,41132388,0.9047619047619048
